CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
94,6,5,4,5,6,6,6,5,5,6,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,4,2,2,4,4
95,5,5,2,4,6,5,6,2,4,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1,3
96,7,7,5,2,7,3,5,3,4,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,6,2,3,1,1,1,1,1,1,1,1,1,1,1,1
97,7,4,2,6,6,5,6,6,3,6,2,2,2,2,2,2,1,1,3,3,3,2,1,1,1,2,1,1,1,4,2,2,1,1,2,1,2,1,3
98,7,7,5,5,6,2,6,6,3,5,3,3,3,3,3,4,1,2,2,2,1,1,3,5,3,3,6,5,5,2,2,3,2,3,5,5,4,2,2
99,5,3,6,6,6,3,6,4,5,4,2,2,2,2,2,1,1,2,2,1,2,2,1,3,1,3,1,2,2,2,1,1,1,1,2,1,2,1,4
100,6,6,5,5,5,3,6,6,4,4,1,1,1,1,1,1,1,1,3,1,1,1,3,5,7,4,4,4,3,4,5,2,3,3,6,4,4,4,4
101,5,1,1,2,4,1,4,4,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,4,6,7,5,4,4,4,4,2,4,1,4,2,4,1,7
102,5,3,2,5,5,5,5,5,4,7,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4
103,6,5,3,5,5,6,5,4,5,2,2,2,1,1,2,2,1,1,1,1,1,1,2,5,7,3,7,6,3,3,3,3,3,6,3,3,3,3,3
104,4,4,1,3,4,3,3,5,5,4,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2
105,7,1,1,5,4,2,4,4,4,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,7,3,2,6,5,6,6,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2,2,2,4,4,1,1,1,4,1,1,2,4
107,5,5,4,5,4,2,4,4,5,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,2,1,2,3,2,2,2,2,2,2,2,1,3
108,5,6,2,4,2,3,4,4,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
109,5,3,2,4,5,4,5,4,4,4,2,2,1,3,3,1,1,1,1,1,1,2,1,1,1,4,1,1,1,4,2,2,1,1,2,1,2,1,4
110,2,2,3,3,3,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3
111,2,7,5,7,7,7,6,7,7,7,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,4,2,2,1,2
112,6,6,3,7,6,5,6,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,5,7,5,6,5,3,3,3,1,1,3,5,5,2,2,3
113,7,7,5,7,7,5,7,7,5,5,2,2,1,2,3,2,1,1,2,1,1,2,2,5,2,2,1,2,3,2,1,2,2,2,2,3,2,1,2
114,5,5,4,6,6,5,4,6,5,4,5,4,5,4,5,1,1,3,5,1,3,1,7,7,6,6,7,7,6,4,2,7,7,4,6,7,6,2,6
115,2,2,1,2,2,1,1,2,4,4,1,1,1,1,1,2,1,1,1,1,1,1,2,2,5,2,2,2,2,3,3,3,3,3,5,3,3,2,4
116,7,7,5,6,7,7,7,4,7,6,2,2,2,2,3,2,1,1,2,1,1,2,3,2,1,4,4,2,2,3,4,4,3,2,3,3,2,2,4
117,1,1,2,5,6,6,6,4,4,3,1,2,1,1,2,1,1,1,2,1,2,1,2,6,4,4,2,2,4,4,3,2,4,2,2,2,2,1,4
118,7,7,5,5,6,7,6,4,5,4,2,2,1,1,2,2,1,1,1,1,1,1,2,2,7,3,5,4,4,4,4,4,3,3,5,2,2,3,6
119,6,6,6,6,6,6,6,6,6,6,2,2,1,1,2,1,1,1,1,1,1,1,2,2,6,2,2,2,2,2,2,2,2,2,6,2,2,2,4
120,3,6,5,4,7,5,7,7,5,5,1,1,1,1,2,1,1,1,1,1,1,1,2,2,6,7,3,2,2,5,3,2,2,2,2,1,2,1,5
121,7,7,7,7,7,6,7,7,7,7,2,2,1,2,2,1,1,1,1,1,1,1,2,2,4,1,1,1,2,1,1,1,1,1,2,1,3,1,5
122,7,7,1,5,7,7,7,1,7,4,5,5,5,3,2,5,1,2,4,3,1,1,6,6,6,4,7,7,6,1,3,4,1,7,7,6,5,7,5
123,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,3,2,3,5,2,2,3,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
124,6,6,4,5,6,6,6,6,4,4,2,2,1,1,3,1,1,1,1,1,1,1,3,2,2,5,3,2,2,3,3,2,2,2,5,2,2,2,2
125,5,6,3,5,5,5,5,5,3,4,2,1,1,1,2,3,1,1,1,1,1,1,1,2,7,3,4,5,2,2,5,2,3,1,5,2,3,5,3
126,6,5,4,4,4,3,5,4,3,5,3,4,2,2,2,2,1,2,2,2,2,1,3,5,7,1,1,1,5,1,3,3,3,3,2,3,1,4,5
127,1,1,2,4,3,2,2,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,3,2,1,1,1,1,1,1,3
128,6,6,3,7,5,6,6,6,6,4,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,3,1,2,2,1,1,1,2,2,2,1,1,1,1
129,3,5,5,4,4,5,5,3,5,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,5,3,3,1,2,3,2,2,2,3,1,1,2,2,3
130,5,5,3,3,7,6,6,1,3,3,1,1,1,1,2,2,1,1,1,1,1,1,2,5,7,2,2,1,2,2,2,2,2,2,2,2,2,2,2
